Name,Category,Latitude,Longitude,scalerank
Eat'n'Pack,restaurant,9.9642981,76.2456082,2
Engineers Mess,restaurant,9.9442368,76.2851873,2
Enkay Restaurant,restaurant,9.996189,76.2804614,2
Erivum Puliyum,restaurant,9.9848168,76.2765922,2
Febina,restaurant,9.9586543,76.2449884,2
Fish n Chips,restaurant,9.964454,76.24319,2
Food Court,restaurant,9.9653209,76.2384912,2
French Toast Cafe,restaurant,9.9878571,76.2824873,1
Frys,restaurant,9.9837669,76.2834896,2
Fusion Bay,restaurant,9.9657064,76.2437358,1
Fusion Bay,restaurant,9.9654507,76.2436563,2
Gausiya,restaurant,10.0259405,76.3064728,2
Ginger House Restaurant,restaurant,9.9567936,76.2607899,1
Gokul Ootupura,restaurant,9.9574251,76.2964776,2
Golden Fork,restaurant,10.0049729,76.3137921,2
Gopika Residency,restaurant,10.0875327,76.2678122,2
hotel,restaurant,10.1483518,76.2460235,2
Hotel A1,restaurant,9.9655965,76.2398267,2
Hotel Classic,restaurant,9.9922152,76.2859228,2
Hotel Cochin Fort Fish Restaurant,restaurant,9.9680178,76.2454509,2
Hotel Lucky Star,restaurant,9.9641322,76.2455538,2
Hotel Moms Kitchen,restaurant,9.9892475,76.2657832,1
Hotel Paradise,restaurant,10.0285196,76.3099997,2
Hotel Raghavendra,restaurant,9.95338,76.3408782,2
Hotel Sagar,restaurant,10.1072798,76.3564057,2
Hotel Saraswathy Bhavan,restaurant,9.9773213,76.2769728,2
Hotel Saravana Bhavan,restaurant,9.9847576,76.2767021,1
Ice Cream Parlour,restaurant,9.9578267,76.24492,2
Iftar,restaurant,10.111085,76.3493468,2
Indian Coffee House Angamaly,restaurant,10.1956934,76.3862024,2
Kalancherry retreat,restaurant,9.8904699,76.2769985,2
Kalavara Hotel,restaurant,10.0251018,76.30727,2
Kalyan Restaurant,restaurant,9.9873996,76.2764012,2
Kavitha Hotel,restaurant,10.1054807,76.3584335,2
"Kayees Biryani, Mattancherry",restaurant,9.9627532,76.2547019,2
Kerala Cafe,restaurant,9.9672179,76.2431551,2
KFC,restaurant,9.9777266,76.3168126,2
Khrisna Kripa Seafood,restaurant,9.9647879,76.2434359,2
Khubuz,restaurant,10.0538542,76.3280923,2
Khyber Restaurant,restaurant,9.9685741,76.2864203,2
Koder House,restaurant,9.9672455,76.2426715,2
KR Bakes,restaurant,9.9671019,76.3185749,2
Kudumba Sree Canteen,restaurant,9.9652656,76.3777524,2
Kunnpuram,restaurant,9.9641585,76.2454972,2
Kushi Cafe,restaurant,9.9635748,76.2430836,2
Lakshmi Hotel,restaurant,9.9500776,76.3312836,2
Le Bakes,restaurant,10.0278815,76.305476,2
Le Café,restaurant,10.1388426,76.1795753,2
Le Jardin Secret,restaurant,9.9657879,76.2425601,1
Lilliput,restaurant,10.1410523,76.1791122,2
Luciya's Food court,restaurant,10.0043129,76.3107128,2
Madras Cafe,restaurant,10.144452,76.2260789,2
Malabar Cafe,restaurant,9.9890532,76.2642735,1
Malabar Plaza,restaurant,9.9814947,76.2833669,1
Malabar Restaurant Athani,restaurant,10.1526682,76.3550969,2
Mary's Kitchen,restaurant,9.9644736,76.2430931,1
Mash Resto-Cafe,restaurant,9.9630007,76.2840712,2
Mellow Manna,restaurant,9.9746063,76.3151576,2
Menorah Restaurant,restaurant,9.9672619,76.2426498,2
Milma Canteen,restaurant,9.9563036,76.3479796,2
Naturals,restaurant,9.9649928,76.2896748,1
Nila Restaurant,restaurant,10.0243795,76.3084353,1
