route_id,trip_id,service_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
FOD09,TRIP0133,0,,,0,,,,
FOU09,TRIP0134,0,,,0,,,,
FOD09,TRIP0135,0,,,0,,,,
FOD07,TRIP0136,0,,,0,,,,
FOU08,TRIP0137,0,,,0,,,,
FOD08,TRIP0138,0,,,0,,,,
FOU08,TRIP0139,0,,,0,,,,
FOD07,TRIP0140,0,,,0,,,,
FOU07,TRIP0141,0,,,0,,,,
FOU09,TRIP0142,0,,,0,,,,
FOU07,TRIP0143,0,,,0,,,,
FOU09,TRIP0144,0,,,0,,,,
FOU07,TRIP0145,0,,,0,,,,
FOU20,TRIP0146,0,,,0,,,,
FOU07,TRIP0147,0,,,0,,,,
FOU09,TRIP0148,0,,,0,,,,
FOU07,TRIP0149,0,,,0,,,,
FOU09,TRIP0150,0,,,0,,,,
FOD09,TRIP0151,0,,,0,,,,
FOU09,TRIP0152,0,,,0,,,,
FOD09,TRIP0153,0,,,0,,,,
FOU09,TRIP0154,0,,,0,,,,
FOD09,TRIP0155,0,,,0,,,,
FOU09,TRIP0156,0,,,0,,,,
FOD09,TRIP0157,0,,,0,,,,
FOD17,TRIP0158,0,,,0,,,,
FOU15,TRIP0159,0,,,0,,,,
FOU09,TRIP0160,0,,,0,,,,
FOD09,TRIP0161,0,,,0,,,,
FOU20,TRIP0162,0,,,0,,,,
FOD09,TRIP0163,0,,,0,,,,
FOU09,TRIP0164,0,,,0,,,,
FOD09,TRIP0165,0,,,0,,,,
FOU09,TRIP0166,0,,,0,,,,
FOD09,TRIP0167,0,,,0,,,,
FOD17,TRIP0168,0,,,0,,,,
FOU15,TRIP0169,0,,,0,,,,
FOD17,TRIP0170,0,,,0,,,,
FOU17,TRIP0171,0,,,0,,,,
FOD17,TRIP0172,0,,,0,,,,
FOU15,TRIP0173,0,,,0,,,,
FOD15,TRIP0174,0,,,0,,,,
FOU17,TRIP0175,0,,,0,,,,
FOD17,TRIP0176,0,,,0,,,,
FOU17,TRIP0177,0,,,0,,,,
FOD15,TRIP0178,0,,,0,,,,
FOU15,TRIP0179,0,,,0,,,,
FOD17,TRIP0180,0,,,0,,,,
FOU15,TRIP0181,0,,,0,,,,
FOD15,TRIP0182,0,,,0,,,,
FOU15,TRIP0183,0,,,0,,,,
FOD15,TRIP0184,0,,,0,,,,
FOU15,TRIP0185,0,,,0,,,,
FOD15,TRIP0186,0,,,0,,,,
FOU15,TRIP0187,0,,,0,,,,
FOD15,TRIP0188,0,,,0,,,,
FOU15,TRIP0189,0,,,0,,,,
FOD17,TRIP0190,0,,,0,,,,
FOU17,TRIP0191,0,,,0,,,,
FOD15,TRIP0192,0,,,0,,,,
FOU15,TRIP0193,0,,,0,,,,
FVD02,TRIP0194,0,,,0,,,,
FVU02,TRIP0195,0,,,0,,,,
FVU01,TRIP0196,0,,,0,,,,
FVD01,TRIP0197,0,,,0,,,,
FVU01,TRIP0198,0,,,0,,,,
FVD01,TRIP0199,0,,,0,,,,
FVU01,TRIP0200,0,,,0,,,,
FVD01,TRIP0201,0,,,0,,,,
FVU01,TRIP0202,0,,,0,,,,
FVD01,TRIP0203,0,,,0,,,,
FVU01,TRIP0204,0,,,0,,,,
FVD01,TRIP0205,0,,,0,,,,
FVU01,TRIP0206,0,,,0,,,,
FVD01,TRIP0207,0,,,0,,,,
