Name,Category,Sub category,Latitude ,Longitude
Burger spot,Gastronomy,fast_food,10.0464543,76.3214678
Canteen,Gastronomy,fast_food,10.016815,76.3425024
Cloud 7,Gastronomy,fast_food,10.146738,76.2507265
Dominos Pizza,Gastronomy,fast_food,10.0031251,76.3057739
Ernakulam District Panchayat Canteen,Gastronomy,fast_food,10.0185961,76.3437428
Famous Bakers,Gastronomy,fast_food,9.9677106,76.2880615
fast food,Gastronomy,fast_food,10.1496071,76.2338861
Govt. canteen,Gastronomy,fast_food,10.1483578,76.2306398
Heritage Bakery,Gastronomy,fast_food,9.9684872,76.2857193
hotel,Gastronomy,fast_food,10.0787776,76.3377926
Hotel Abhirami,Gastronomy,fast_food,10.0617032,76.3230182
Hotel Aryaas,Gastronomy,fast_food,9.9644758,76.2885328
Hotel Chanus,Gastronomy,fast_food,9.9646998,76.2879965
Hotel Denny's,Gastronomy,fast_food,9.9669014,76.3070407
Hotel Prabhath,Gastronomy,fast_food,9.9661359,76.2885239
Indian Coffee House,Gastronomy,fast_food,10.0176039,76.3443673
K R Bakes,Gastronomy,fast_food,10.1487785,76.2297581
KRB,Gastronomy,fast_food,10.1518009,76.1753101
Lijo's puttukada,Gastronomy,fast_food,10.148578,76.2249988
Liya Tea Shop,Gastronomy,fast_food,9.9864845,76.2834258
Majlis Hotel,Gastronomy,fast_food,10.1492327,76.2348752
Manees hotel,Gastronomy,fast_food,10.1077136,76.2619084
Matha Hotel and Fast Food,Gastronomy,fast_food,9.9920734,76.281622
McDonald's,Gastronomy,fast_food,10.0278448,76.3082245
McDonald's,Gastronomy,fast_food,9.9807397,76.2833975
Mohanan Nair's Kada,Gastronomy,fast_food,10.08532,76.2343025
Nair's puttum paripum,Gastronomy,fast_food,10.0853528,76.2343336
Pai Dosa,Gastronomy,fast_food,10.0299322,76.3049478
Pizza Hut,Gastronomy,fast_food,9.9685174,76.2873849
Punchiri Hotel,Gastronomy,fast_food,10.081488,76.3643521
Puttu kada,Gastronomy,fast_food,10.1494086,76.2364958
Rappai's Fast food,Gastronomy,fast_food,10.0022843,76.3056488
Sree Yadav Bhel Puri,Gastronomy,fast_food,9.9591969,76.2554371
Subway,Gastronomy,fast_food,9.9653726,76.295042
Sulu's Bakers,Gastronomy,fast_food,9.9677812,76.288028
Ustad Hotel,Gastronomy,fast_food,10.0892663,76.2082773
Village restaurant,Gastronomy,fast_food,10.0570304,76.2914455
Zain Fast Food,Gastronomy,fast_food,10.0816585,76.36448
Zam zam,Gastronomy,fast_food,10.1496432,76.2240133
Lakshmi Chappathi Centre,Gastronomy,food_court,9.989773,76.2821486
Royal Bakery and Food Court,Gastronomy,food_court,10.0422209,76.3534496
Aadaminte Chayakkada,Gastronomy,restaurant,10.1298799,76.3500409
Ali Baba & 41 Dishes,Gastronomy,restaurant,9.9670719,76.2871148
Ali Baba Restaurants,Gastronomy,restaurant,9.993427,76.2853721
Alibaba & 41 Dishes,Gastronomy,restaurant,9.9596002,76.2961662
Alishan Restaurant,Gastronomy,restaurant,9.9919153,76.2874898
Al-Maray,Gastronomy,restaurant,9.9988327,76.296785
Ambatt Restaurant,Gastronomy,restaurant,9.9783375,76.3340597
Amma,Gastronomy,restaurant,9.9511382,76.3311282
Anandhas veg,Gastronomy,restaurant,10.0259841,76.3064321
Annapurna,Gastronomy,restaurant,9.9675512,76.244559
Anugraha Restuarant,Gastronomy,restaurant,9.9678864,76.3179231
Appu Aur Pappu,Gastronomy,restaurant,9.9654179,76.2940065
Arabian Fil Fil,Gastronomy,restaurant,10.0429887,76.2989858
Arabian Grill,Gastronomy,restaurant,10.0041069,76.3091517
Aruvi Natural Restaurant,Gastronomy,restaurant,9.9821018,76.2845586
Aruvi Restaurant,Gastronomy,restaurant,9.9879236,76.2792566
Arya Bhavan,Gastronomy,restaurant,10.0552813,76.321528
Arya Bhavan,Gastronomy,restaurant,9.968505,76.2877686
Aryas,Gastronomy,restaurant,10.1704841,76.3729009
Ashok Bhavan,Gastronomy,restaurant,9.9489309,76.292292
Atharva,Gastronomy,restaurant,9.9577339,76.2561721
Atlanta Cafe n restaurant,Gastronomy,restaurant,10.045228,76.2976849
B for Biryani Kochi.,Gastronomy,restaurant,9.9628396,76.2546907
Balaji Restaurant,Gastronomy,restaurant,9.9608309,76.2550946
Balos Restaurant,Gastronomy,restaurant,9.9877455,76.2944441
Bambino Restaurant,Gastronomy,restaurant,10.1079305,76.3569437
Barbeque Nation,Gastronomy,restaurant,9.9830223,76.2821952
Beeranikka,Gastronomy,restaurant,10.0616443,76.3497614
Beit Chabad ,Gastronomy,restaurant,9.967284,76.242031
Beith Hotel,Gastronomy,restaurant,10.0478572,76.3178239
Bimbis,Gastronomy,restaurant,9.9784872,76.277013
Bimbi's Pure Vegetarian Hotel & Sweets,Gastronomy,restaurant,9.9685809,76.2865135
Biriyani Hut,Gastronomy,restaurant,10.0125268,76.3025613
Bluemoon Hotel,Gastronomy,restaurant,10.0487277,76.3166962
Bread World,Gastronomy,restaurant,10.0230938,76.341304
Brindavan,Gastronomy,restaurant,10.0024798,76.3070167
Brindavan Restaurant,Gastronomy,restaurant,10.0030524,76.3069322
Cafe Cuba,Gastronomy,restaurant,9.9671852,76.2434435
Carnival Food Court,Gastronomy,restaurant,10.0176879,76.3513032
Carnival Food Court,Gastronomy,restaurant,10.1616841,76.3650548
