Stop Name,Latitude,Longitude
Irupathanjam Kallu,10.26632176,76.17983203
Vypin Bus Stand,9.973345007,76.24420138
Naduvattom,10.20291297,76.466699
Pullikkavazhi,9.73159314,76.29027838
Nangelippady,10.06972897,76.60204988
Moonnukallu,10.18892498,76.42926239
Neduvannur Gate,10.14112826,76.3769068
Choorakkadu,9.930663867,76.35467998
Pipeline,10.03335322,76.32550022
Irumpanam Or Puthiya Road,9.958214497,76.35832372
Parekkatti Kavala,9.96291212,76.48015037
Kumbalanghi Ferry,9.84826657,76.29487078
Thattanmugal Kurishu Palli Or Pathamughal,10.02334797,76.48119046
Karikkode,10.14612159,76.45973553
Attara,10.24739006,76.40805284
Vadakke Kotta,9.952971148,76.33934051
Millupady,10.10296461,76.29803989
Manachery,9.921542569,76.25055903
Vettikavu,9.97700363,76.35383636
Company Padi Or Hpc Stop,9.831821688,76.46954666
Puthiya Road,10.0675107,76.32254981
Makkekavala,9.77437686,76.36139974
Shenoys Bus Stop,9.975916306,76.28434294
Union Kavala,10.16333004,76.44807308
Pddpp,9.966893477,76.37757621
Mangottupadi School,10.56161861,76.03320898
Murinjapuzha,9.819234813,76.39196766
Kalppalandi Mukku,9.952086179,76.25761894
Devipadi,9.878466055,76.48338799
St Xaviers Church  Azheekka Palli,9.74115064,76.2857024
Palarivattom,10.00204476,76.30510846
Ire,10.0803483,76.29658557
Valav,10.1178062,76.31931285
Marver,10.1083643,76.36922199
Naalum Koodiya Kavala Or Amballoor Kavala Or Sndp Junction,9.868801886,76.3985295
Bharath Petroleum,9.979431312,76.35308629
Ali Peedika,10.05034948,76.35389188
Ayyapankav Or Kunjamanni Junction,9.997756266,76.28544212
Kurishupalli,10.18293313,76.53358703
High School,10.00229373,76.26288467
Eloor Depot,10.08619001,76.28947987
Pappada Valav,10.18333156,76.19150907
Millumpady,10.1369278,76.52387059
Thrippunithura Bus Stand,9.943035142,76.34648516
Chunangamvely,10.0870626,76.38344131
Olph School Stop,10.25990321,76.4047301
Chebiyoor,10.19706824,76.48865312
Poolani Kinar,10.30853318,76.38287325
Punoor School Padi,10.07530332,76.47801641
Mavinchuvadu Or Orani Mukku,10.14987072,76.25892766
Fact Ambalamedu,9.995319828,76.38740972
K G Hospital Stop,10.19812209,76.38471637
Aashankavala,9.937969869,76.80141994
Mulanthuruthy Gate Stop,9.907418064,76.38783419
Meladoor Shappum Padi Bus Stop,10.23177691,76.30731778
Valappil Paalam,9.846195541,76.48733991
Eloor North Bus Stand Or Methanam,10.09457146,76.29167397
Chennam Or Ottapunna,9.739047798,76.36271234
Karimukal Market Junction,9.989894765,76.40124193
Oonjappara,10.10169636,76.66065825
Athirampuzha Mg University,9.660314068,76.52954925
Palarivattom Junction,10.00190776,76.30652748
Palyamturuth,10.17005474,76.19832957
Kongorpilly,10.10059456,76.27767605
Mamala Kavala,9.883093807,76.4683442
Chungam Stop,10.19137767,76.38664404
Cheriyapallam Turuth Junction Or Cheriyavallamthuruth,10.16016737,76.22254552
Cemetery,9.991742452,76.28154095
Thekke kavala,10.02100745,76.44807056
Thanikkal Junction,10.01113318,76.2870505
Colonypadi,10.08773339,76.36787512
Elanji Private Bus Stand,9.829832656,76.54643445
Town Little Flower,10.19222754,76.38518177
Kavana Chuvattil Padi Or Palaykkamattam,9.951846444,76.47158256
Velloor,9.831968387,76.45377362
Millumpady,10.22365283,76.45029411
Pappada Valav,10.18341664,76.19177577
Sangamam Padi,9.986377372,76.56596052
Vazhapilli,9.996806085,76.57191264
Kunnumpuram Junction Bus Stop,10.04340805,76.29884348
Arathi Veli,10.12178392,76.23700727
